,Word,Count
671,playing,150
672,including,276
673,heavy,64
674,metal,142
675,forefather,3
676,sang,132
677,ended,117
678,stuck,31
679,airport,92
680,outside,83
681,make,718
682,upstate,4
683,read,140
684,bios,2
685,performer,32
686,closed,30
687,blistering,2
688,spangled,2
689,banner,16
690,hey,63
691,woodstock,3
692,performance,52
693,artist,170
694,back,485
695,encore,2
696,ran,78
697,material,118
698,improvise,4
699,classic,281
700,theater,66
701,visitor,37
702,relax,13
703,beanbag,1
704,chair,59
705,watch,78
706,highlight,21
707,sitar,1
708,master,125
709,friend,208
710,beatles,29
711,royal,147
712,daughter,151
713,tragedy,27
714,little,394
715,king,618
716,lump,8
717,dirt,19
718,dull,15
719,stupid,11
720,snail,14
721,slug,3
722,example,103
723,greek,352
724,assembly,27
725,official,184
726,genesis,40
727,describes,68
728,grandson,19
729,noah,15
730,mighty,24
731,hunter,36
732,lord,133
733,poke,4
734,pointed,11
735,object,142
736,satanic,6
737,satisfier,1
738,served,212
739,adjective,192
740,officer,69
741,hat,88
742,decoration,16
743,breakfast,36
744,serving,58
745,doris,5
746,know,434
747,six,30
748,appetizer,14
749,traitorous,2
750,dish,140
751,manhattan,51
752,delmonico,4
753,restaurant,83
754,supposedly,9
755,created,294
756,lily,17
757,starred,73
758,freeman,6
759,role,178
760,sidney,9
761,poitier,4
762,played,473
763,piff,1
764,paff,1
765,pouf,1
766,boasted,4
767,chorus,14
768,costume,29
769,dance,163
770,bernadette,4
771,peter,108
772,waiflike,1
773,heroine,33
774,la,181
775,strada,1
776,heep,4
777,copperfield,3
778,week,108
779,rockabye,1
780,featured,111
781,rousing,10
782,rosencrantz,1
783,guildenstern,1
784,boogie,11
785,eric,42
786,clapton,4
787,guitar,34
788,london,194
789,memorabilia,5
790,donated,17
791,chain,100
792,plan,55
793,fran,2
794,terrapin,2
795,station,71
796,interactive,1
797,dedicated,67
798,though,182
799,still,255
800,help,294
801,guide,34
802,tourist,36
803,graceland,3
804,audiotape,1
805,see,326
806,lennon,14
807,sgt,2
808,pepper,40
809,head,313
810,ohio,82
811,establishment,11
812,tuition,6
813,fee,9
814,expense,7
815,school,390
816,lincoln,95
817,center,219
818,mom,98
819,dad,87
820,february,64
821,grenada,2
822,celebrates,30
823,independence,101
824,namibian,1
825,worker,65
826,mark,184
827,august,86
828,people,611
829,kyrgyzstan,1
830,celebrate,34
831,break,96
832,july,202
833,peru,29
834,panamanian,4
835,november,84
836,spoiled,1
837,child,264
838,hopefully,9
839,pack,14
840,ancient,238
841,mesopotamian,3
842,euphrates,4
843,boy,223
844,rapped,10
845,licensed,1
846,ill,18
847,nautical,15
848,refugee,9
849,began,315
850,fleeing,7
851,vietnam,60
852,late,184
853,inflating,1
854,marine,75
855,animal,332
856,puffer,1
857,abbreviation,30
858,job,229
859,replaced,52
860,coroner,4
861,might,225
862,award,157
863,bt,1
864,stand,197
865,brain,71
866,kindergarten,3
867,cop,62
868,schwarzenegger,6
869,insisted,3
870,medicine,53
871,sexy,14
872,operation,48
873,adenoidectomy,1
874,robert,199
875,koch,4
876,said,855
877,must,164
878,isolated,14
879,bacillus,5
880,cause,126
881,od,1
882,overdose,2
883,oculus,4
884,dexter,2
885,class,98
886,chief,140
887,level,73
888,rank,56
889,german,248
890,biwacht,1
891,auxiliary,2
892,patrol,8
893,unsheltered,1
894,camp,35
895,mia,9
896,missing,24
897,action,104
898,wia,1
899,abc,54
900,weapon,74
901,atomic,55
902,biological,6
903,upon,84
904,hearing,33
905,order,172
906,fall,139
907,come,596
908,blue,251
909,blow,48
910,horn,56
911,sheep,37
912,meadow,14
913,cow,39
914,catch,61
915,hare,8
916,meeting,54
917,pieman,4
918,fair,70
919,reason,59
920,old,469
921,hubbard,7
922,cupboard,5
923,cried,9
924,dear,29
925,sadly,32
926,fear,61
927,lost,199
928,mitten,4
929,guy,311
930,upstairs,5
931,downstairs,4
932,nightgown,2
933,eohippus,1
934,early,243
935,hippopotamus,1
936,historian,23
937,generally,18
938,agree,12
939,development,30
940,separate,61
941,prehistory,1
942,history,267
943,pleistocene,3
944,epoch,3
945,gouged,2
946,gorge,15
947,river,611
948,valley,128
949,melted,11
950,soil,33
951,left,245
952,found,434
953,fossil,21
954,recognized,15
955,prehistoric,15
956,human,197
957,consisted,10
958,portion,23
959,pennsylvanian,4
960,mississippian,2
961,grosse,1
