full_name,final_score,occupation,city,state,state_id,archive_info,date,dt_indx,winner_flg
Matt Masich,23999,a writer and editor,Denver,Colorado,CO,J! Archive - Show #7932,2/19/19,2,1
Adrienne Onofri,30401,a writer and editor,Queens,New York,NY,J! Archive - Show #7079,5/28/15,3,1
Rachel Zoch,1,a writer and editor,Deer Park,Texas,TX,J! Archive - Show #7250,3/4/16,1,0
Rachel Zoch,25199,a writer and editor,Deer Park,Texas,TX,J! Archive - Show #7249,3/3/16,1,1
Rachel Zoch,12800,a writer and editor,Deer Park,Texas,TX,J! Archive - Show #7248,3/2/16,1,1
Rachel Zoch,4700,a writer and editor,Deer Park,Texas,TX,J! Archive - Show #7247,3/1/16,3,1
Buzzy Cohen,24299,a music executive,Los Angeles,California,CA,J! Archive - Show #7635,11/17/17,1,1
Buzzy Cohen,0,a music executive,Los Angeles,California,CA,J! Archive - Show #7634,11/16/17,1,0
Buzzy Cohen,30000,a music executive,Los Angeles,California,CA,J! Archive - Show #7626,11/6/17,1,1
Buzzy Cohen,20200,a music executive,Los Angeles,California,CA,J! Archive - Show #7310,5/27/16,1,1
Buzzy Cohen,16800,a music executive,Los Angeles,California,CA,J! Archive - Show #7309,5/26/16,1,1
Buzzy Cohen,14401,a music executive,Los Angeles,California,CA,J! Archive - Show #7308,5/25/16,1,1
Buzzy Cohen,12200,a music executive,Los Angeles,California,CA,J! Archive - Show #7307,5/24/16,1,1
Buzzy Cohen,19800,a music executive,Los Angeles,California,CA,J! Archive - Show #7306,5/23/16,1,1
Buzzy Cohen,22801,a music executive,Los Angeles,California,CA,J! Archive - Show #7290,4/29/16,1,1
Buzzy Cohen,20200,a music executive,Los Angeles,California,CA,J! Archive - Show #7289,4/28/16,1,1
Buzzy Cohen,8399,a music executive,Los Angeles,California,CA,J! Archive - Show #7288,4/27/16,1,1
Buzzy Cohen,16401,a music executive,Los Angeles,California,CA,J! Archive - Show #7287,4/26/16,1,1
Buzzy Cohen,33601,a music executive,Los Angeles,California,CA,J! Archive - Show #7286,4/25/16,3,1
Tim Suba,19599,a public education consultant,Los Angeles,California,CA,J! Archive - Show #7615,10/20/17,2,0
Dan Viafore,7199,an audio engineer,Los Angeles,California,CA,J! Archive - Show #7585,7/28/17,3,0
Martin Chetlen,5200,a professor,Los Angeles,California,CA,J! Archive - Show #7577,7/18/17,3,0
Erin Wilson,21200,a professor,Baltimore,Maryland,MD,J! Archive - Show #7524,5/4/17,2,0
Ian Borland,20800,a professor,Baltimore,Maryland,MD,J! Archive - Show #7108,7/8/15,2,0
Frank Orlando,8799,a professor,Wesley Chapel,Florida,FL,J! Archive - Show #7909,1/17/19,2,0
Gautam Mukunda,17001,a professor,Boston,Massachusetts,MA,J! Archive - Show #7033,3/25/15,1,0
Gautam Mukunda,24401,a professor,Boston,Massachusetts,MA,J! Archive - Show #7032,3/24/15,3,1
Emily Frey,20399,a professor,Swarthmore,Pennsylvania,PA,J! Archive - Show #7855,11/2/18,1,1
Emily Frey,13601,a professor,Swarthmore,Pennsylvania,PA,J! Archive - Show #7854,11/1/18,1,1
Emily Frey,31201,a professor,Swarthmore,Pennsylvania,PA,J! Archive - Show #7853,10/31/18,1,1
Emily Frey,17701,a professor,Swarthmore,Pennsylvania,PA,J! Archive - Show #7852,10/30/18,3,1
Craig Tollin,17201,a professor,Roanoke,Virginia,VA,J! Archive - Show #7655,12/15/17,1,0
Craig Tollin,22001,a professor,Roanoke,Virginia,VA,J! Archive - Show #7654,12/14/17,2,1
Ian Shin,4001,a professor,Lewiston,Maine,ME,J! Archive - Show #7652,12/12/17,2,0
Marie Halvorsen-Ganepola,1,a professor,Granger,Indiana,IN,J! Archive - Show #7179,11/26/15,2,0
Elisa Korb,12600,a professor,Bethlehem,Pennsylvania,PA,J! Archive - Show #6908,10/1/14,1,0
Elisa Korb,12600,a professor,Bethlehem,Pennsylvania,PA,J! Archive - Show #6908,10/1/14,1,0
Elisa Korb,10700,a professor,Bethlehem,Pennsylvania,PA,J! Archive - Show #6907,9/30/14,1,1
Elisa Korb,26400,a professor,Bethlehem,Pennsylvania,PA,J! Archive - Show #6906,9/29/14,3,1
Tom Landvatter,26200,a professor,Valparaiso,Indiana,IN,J! Archive - Show #7093,6/17/15,3,0
