,Word,Count
1096,ad,30
1097,austrailian,5
1098,wildlife,30
1099,decomposing,5
1100,composer,79
1101,highland,5
1102,bling,5
1103,international,83
1104,week,15
1105,symbol,82
1106,dino,5
1107,hispanic,5
1108,watch,23
1109,backwards,15
1110,indoors,10
1111,seller,8
1112,cheer,9
1113,kit,5
1114,faith,15
1115,accessory,10
1116,alfalfa,5
1117,aye,13
1118,admiral,5
1119,exactly,5
1120,superhero,24
1121,supporting,40
1122,ruin,5
1123,homeland,5
1124,light,15
1125,spoken,5
1126,grammy,25
1127,nba,45
1128,metropolitan,20
1129,abbrevs,7
1130,ai,5
1131,marco,5
1132,model,18
1133,consciousness,5
1134,polo,5
1135,recipe,5
1136,secretary,29
1137,stream,12
1138,found,45
1139,classroom,5
1140,correct,12
1141,famers,30
1142,whole,30
1143,pirate,20
1144,favorite,39
1145,provide,5
1146,act,30
1147,eastern,19
1148,hemisphere,25
1149,alma,15
1150,mater,15
1151,broke,5
1152,tuber,4
1153,schwarzenegger,5
1154,herstory,10
1155,chinese,25
1156,computer,32
1157,corporate,10
1158,logo,54
1159,europe,44
1160,master,40
1161,disguise,5
1162,psychology,29
1163,differ,10
1164,fish,37
1165,pencil,5
1166,mania,10
1167,potluck,5
1168,play,177
1169,saturday,15
1170,night,45
1171,live,44
1172,society,20
1173,biz,32
1174,commonwealth,5
1175,grand,30
1176,slam,10
1177,everyone,10
1178,dug,5
1179,fowl,10
1180,inaugural,13
1181,address,15
1182,gambling,10
1183,vega,10
1184,grave,19
1185,power,38
1186,hitter,5
1187,uizzical,5
1188,medal,35
1189,freedom,15
1190,recipient,20
1191,frenzy,5
1192,lyft,5
1193,uber,5
1194,trophy,10
1195,marvel,5
1196,marvelous,5
1197,fluff,5
1198,catch,20
1199,quechua,5
1200,notable,30
1201,placemat,5
1202,nada,5
1203,chocolate,10
1204,arm,15
1205,fencing,9
1206,hidden,14
1207,genius,19
1208,sea,43
1209,chicago,19
1210,house,106
1211,shallow,5
1212,thought,30
1213,back,88
1214,politician,30
1215,dave,5
1216,sheepish,5
1217,letterman,3
1218,puppet,10
1219,killing,10
1220,monument,20
1221,true,40
1222,library,59
1223,planetary,10
1224,peace,30
1225,corp,10
1226,fly,35
1227,wait,10
1228,er,10
1229,window,13
1230,treatment,3
1231,animated,40
1232,cave,20
1233,equal,5
1234,anniversary,39
1235,dominica,3
1236,rookie,5
1237,uge,5
1238,gilded,10
1239,bond,52
1240,entertaining,30
1241,occupation,30
1242,lighthouse,18
1243,bit,45
1244,similar,5
1245,explorer,35
1246,club,35
1247,partner,15
1248,lichen,5
1249,asy,5
1250,liberal,10
1251,comma,5
1252,sympathizer,5
1253,gym,10
1254,james,46
1255,jessica,5
1256,maritime,5
1257,flag,81
1258,convenience,5
1259,puerto,15
1260,rican,5
1261,beatle,10
1262,vaudeville,5
1263,avian,10
1264,koan,3
1265,natural,15
1266,wonder,30
1267,numeral,15
